,precision,recall,f1-score,support
human,0.9526530612244898,0.9446333171442448,0.9486262396358316,6177.0
bot,0.8824338260570643,0.8984949247462373,0.8903919528269164,2857.0
accuracy,0.9300420633163604,0.9300420633163604,0.9300420633163604,0.9300420633163604
macro avg,0.917543443640777,0.921564120945241,0.919509096231374,9034.0
weighted avg,0.930446247534725,0.9300420633163604,0.930209662547823,9034.0
