,precision,recall,f1-score,support
human,0.9425465838509317,0.9826776752468837,0.9621938654196719,6177.0
bot,0.9587509637625289,0.8704935246762339,0.9124931205283434,2857.0
accuracy,0.9471994686738986,0.9471994686738986,0.9471994686738986,0.9471994686738986
macro avg,0.9506487738067303,0.9265855999615588,0.9373434929740077,9034.0
weighted avg,0.9476712145136983,0.9471994686738986,0.9464760186015929,9034.0
