,precision,recall,f1-score,support
正常用户,0.9308847476026778,0.9703885326291966,0.9502262443438914,5302.0
爬虫,0.8272827282728272,0.6631393298059964,0.7361722956436613,1134.0
accuracy,0.9162523306401492,0.9162523306401492,0.9162523306401492,0.9162523306401492
macro avg,0.8790837379377525,0.8167639312175965,0.8431992699937763,6436.0
weighted avg,0.9126304452533847,0.9162523306401492,0.9125107101881952,6436.0
