,precision,recall,f1-score,support
human,0.9483545898283735,0.9750688036263558,0.9615261813537676,6177.0
bot,0.9426015654118524,0.8851942597129856,0.9129963898916967,2857.0
accuracy,0.9466460039849458,0.9466460039849458,0.9466460039849458,0.9466460039849458
macro avg,0.9454780776201129,0.9301315316696708,0.9372612856227321,9034.0
weighted avg,0.9465351974486965,0.9466460039849458,0.9461786482336506,9034.0
