,precision,recall,f1-score,support
human,0.8937454279444038,0.8791149487317863,0.8863698195338714,5559.0
bot,0.8728476821192053,0.8881401617250674,0.8804275217100869,5194.0
accuracy,0.883474379243002,0.883474379243002,0.883474379243002,0.883474379243002
macro avg,0.8832965550318046,0.8836275552284268,0.8833986706219792,10753.0
weighted avg,0.8836512317371982,0.883474379243002,0.8834995233470643,10753.0
