,precision,recall,f1-score,support
human,0.8849701573521432,0.8896363636363637,0.8872971257593617,5500.0
bot,0.8838055130168453,0.8789263278126784,0.8813591677006777,5253.0
accuracy,0.8844043522737841,0.8844043522737841,0.8844043522737841,0.8844043522737841
macro avg,0.8843878351844943,0.8842813457245211,0.8843281467300197,10753.0
weighted avg,0.8844012113190994,0.8844043522737841,0.884396345169548,10753.0
